employee_id,employee_name,email,department,job_role,experience_years,hire_date,skills,required_skill,availability_status,workload_percentage,active_tasks,performance_score,task_id,task_title,task_description,task_priority,task_status,task_start_date,task_deadline,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee
EMP2373,Pooja Menon,employee2373@company.local,Engineering,Developer,4.1,2013-09-01,,Computer Vision,Busy,27.0,2,71.9,TASK47189,Dashboard Update,Complete Computer Vision related work for the assigned business operation.,High,In Progress,2026-02-22,2026-02-25,36.5,25.1,76.8,16.5,1
EMP4021,Priya Menon,employee4021@company.local,HR,Analyst,6.1,2024-05-28,"SQL, Project Management, Computer Vision, Excel",NLP,Available,100.0,8,75.0,TASK47556,SQL Data Processing,Complete NLP related work for the assigned business operation.,Medium,In Progress,2025-11-13,2025-11-23,44.4,21.9,56.9,43.8,1
EMP2457,Swati Kapoor,employee2457@company.local,Engineering,Project Manager,2.1,2018-10-19,Computer Vision,Project Management,Available,67.9,2,62.2,TASK31926,Django Feature Development,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2025-02-22,2025-03-31,32.0,21.2,56.6,41.9,1
EMP2344,Vivek Singh,employee2344@company.local,Finance,Data Scientist,4.5,2022-12-14,"SQL, Excel, Deep Learning, Computer Vision",Machine Learning,On Leave,47.5,3,72.7,TASK44680,API Development,Complete Machine Learning related work for the assigned business operation.,Medium,Completed,2025-11-24,2025-12-13,43.1,40.4,96.7,22.5,0
EMP205,Anita Pillai,employee205@company.local,Operations,Senior Developer,13.6,2022-09-14,"Python, NLP, Project Management, Django",Finance,Available,49.3,2,77.0,TASK06336,Project Documentation,Complete Finance related work for the assigned business operation.,Medium,Blocked,2026-05-27,2026-06-17,33.5,29.4,92.8,49.2,1
EMP1908,Rohit Verma,employee1908@company.local,Finance,HR Executive,8.7,2023-01-25,Project Management,Machine Learning,Available,49.5,4,63.0,TASK29847,Database Update,Complete Machine Learning related work for the assigned business operation.,Medium,Completed,2025-01-06,2025-02-23,25.9,18.0,70.9,46.6,0
EMP912,Sanjay Kumar,employee912@company.local,Data Science,Project Manager,4.3,2019-07-10,"Deep Learning, Excel, Data Analysis, Computer Vision",Django,Busy,35.6,3,63.5,TASK36377,Database Update,Complete Django related work for the assigned business operation.,High,In Progress,2026-08-20,2026-09-11,25.9,11.6,52.3,32.3,1
EMP454,Nikhil Thomas,employee454@company.local,Finance,Business Analyst,7.2,2017-05-18,"Deep Learning, Computer Vision",SQL,Available,49.4,1,70.5,TASK07978,Employee Data Analysis,Complete SQL related work for the assigned business operation.,High,In Progress,2026-02-12,2026-02-17,18.6,17.3,90.6,44.6,1
EMP2932,Sanjay Verma,employee2932@company.local,Engineering,Finance Analyst,10.5,2016-11-30,React,Deep Learning,On Leave,56.7,3,59.7,TASK19838,Django Feature Development,Complete Deep Learning related work for the assigned business operation.,Medium,Not Started,2025-11-18,2026-01-05,23.4,12.2,67.9,25.6,0
EMP2216,Aditya Singh,employee2216@company.local,Engineering,,3.7,2021-07-05,"React, Computer Vision, NLP, Machine Learning",Machine Learning,Busy,61.4,3,74.1,TASK04621,Employee Data Analysis,Complete Machine Learning related work for the assigned business operation.,High,In Progress,2025-11-30,2026-01-18,55.7,44.9,81.6,56.1,1
