employee_id,employee_name,email,department,job_role,experience_years,hire_date,skills,availability_status,workload_percentage,active_tasks,performance_score
EMP2373,Pooja Menon,employee2373@company.local,Engineering,Developer,4.1,2013-09-01,"Machine Learning, Project Management",Busy,27.0,3,71.9
EMP4021,Priya Menon,employee4021@company.local,HR,Analyst,6.1,2024-05-28,"SQL, Project Management, Computer Vision, Excel",Available,100.0,6,75.0
EMP2457,Swati Kapoor,employee2457@company.local,Engineering,Project Manager,2.1,2018-10-19,Computer Vision,Available,67.9,3,62.2
EMP2344,Vivek Singh,employee2344@company.local,Finance,Data Scientist,4.5,2022-12-14,"SQL, Excel, Deep Learning, Computer Vision",On Leave,47.5,3,72.7
EMP205,Anita Pillai,employee205@company.local,Operations,Senior Developer,13.6,2022-09-14,"Python, NLP, Project Management, Django",Available,49.3,3,77.0
EMP1908,Rohit Verma,employee1908@company.local,Finance,HR Executive,8.7,2023-01-25,Project Management,Available,49.5,3,63.0
EMP912,Sanjay Kumar,employee912@company.local,Data Science,Project Manager,4.3,2019-07-10,"Deep Learning, Excel, Data Analysis, Computer Vision",Busy,35.6,2,63.5
EMP454,Nikhil Thomas,employee454@company.local,Finance,Business Analyst,7.2,2017-05-18,"Deep Learning, Computer Vision",Available,49.4,2,70.5
EMP2932,Sanjay Verma,employee2932@company.local,Engineering,Finance Analyst,10.5,2016-11-30,React,On Leave,56.7,2,59.7
EMP2216,Aditya Singh,employee2216@company.local,Engineering,Finance Analyst,3.7,2021-07-05,"React, Computer Vision, NLP, Machine Learning",Busy,61.4,3,74.1
EMP2839,Isha Nair,employee2839@company.local,IT,Team Lead,2.4,2024-05-17,Django,Available,39.9,4,46.6
EMP3479,Isha Nair,employee3479@company.local,Operations,Analyst,8.2,2015-10-28,Computer Vision,Busy,49.8,6,56.3
EMP615,Kavya Nair,employee615@company.local,Marketing,Data Scientist,2.1,2020-01-18,"Machine Learning, Finance, SQL",Available,14.0,3,44.5
EMP532,Sanjay Verma,employee532@company.local,Marketing,Team Lead,11.5,2016-02-13,Machine Learning,Available,95.8,7,76.4
EMP916,Aditya Verma,employee916@company.local,Data Science,Business Analyst,5.6,2014-06-07,Machine Learning,Busy,42.5,2,71.0
EMP3886,Kiran Das,employee3886@company.local,Operations,Business Analyst,2.8,2021-06-27,"Data Analysis, Deep Learning, NLP",Busy,34.4,2,57.5
EMP2617,Swati Kapoor,employee2617@company.local,IT,Analyst,8.6,2025-08-05,"Data Analysis, Project Management, SQL, Machine Learning",Available,54.6,3,55.1
EMP4536,Aditya Singh,employee4536@company.local,Marketing,HR Executive,5.9,2019-01-15,SQL,Available,33.6,3,76.1
EMP1834,Nikhil Patel,employee1834@company.local,Engineering,HR Executive,2.4,2017-09-10,Deep Learning,Available,21.7,2,59.6
EMP1471,Divya Iyer,employee1471@company.local,Finance,Developer,4.9,2019-10-09,"Django, SQL, Computer Vision",Busy,51.0,3,62.5
EMP1487,Neha Iyer,employee1487@company.local,Engineering,Project Manager,10.8,2023-03-14,"NLP, Deep Learning, React",Busy,50.8,3,73.6
EMP4271,Divya Iyer,employee4271@company.local,Engineering,HR Executive,9.7,2016-10-10,"SQL, Django",Available,23.4,2,78.1
EMP729,Meera Kapoor,employee729@company.local,Finance,Team Lead,7.1,2025-05-02,Project Management,Available,61.8,7,86.1
EMP3282,Rahul Mishra,employee3282@company.local,Engineering,Analyst,6.5,2020-10-24,"SQL, Django, React",Available,63.3,2,88.0
EMP4586,Kiran Patel,employee4586@company.local,Engineering,HR Executive,2.5,2024-10-24,"Project Management, Python",Available,57.8,4,67.8
EMP1359,Isha Iyer,employee1359@company.local,Operations,Analyst,10.8,2024-05-22,"Project Management, NLP, React, Python",Available,57.4,5,60.9
EMP010,Amit Patel,employee010@company.local,Data Science,HR Executive,5.4,2016-02-23,"React, Finance, Django",Busy,23.7,1,72.0
EMP3693,Pooja Pillai,employee3693@company.local,Engineering,Developer,2.6,2025-03-18,"Excel, Machine Learning",Available,73.2,4,63.9
EMP4651,Divya Joshi,employee4651@company.local,Marketing,Analyst,3.2,2020-04-04,"NLP, Computer Vision, SQL, Data Analysis",Available,28.2,1,64.0
EMP3031,Divya Nair,employee3031@company.local,Marketing,Analyst,4.1,2020-02-08,"Project Management, Django, Data Analysis",Available,72.2,5,53.0
EMP1865,Anita Kapoor,employee1865@company.local,Sales,Senior Developer,5.9,2015-06-23,"Project Management, Finance, Computer Vision",On Leave,56.1,6,71.6
EMP2660,Arun Verma,employee2660@company.local,HR,Finance Analyst,8.7,2019-04-08,"Deep Learning, Data Analysis",Busy,100.0,7,72.0
EMP2958,Manoj Das,employee2958@company.local,Engineering,HR Executive,4.9,2013-04-18,"SQL, Data Analysis, NLP, Finance",Available,76.2,4,79.5
EMP1039,Not specified,employee1039@company.local,Finance,Data Scientist,4.8,2019-11-24,NLP,Available,65.5,5,75.6
EMP1061,Priya Menon,employee1061@company.local,Marketing,Developer,8.6,2012-09-27,"React, Project Management, Django",Busy,100.0,1,66.3
EMP1732,Sanjay Verma,employee1732@company.local,Data Science,Data Scientist,5.6,2013-10-05,"React, Python",Available,31.6,2,80.8
EMP2112,Sanjay Kumar,employee2112@company.local,Finance,Business Analyst,4.4,2023-01-08,"Machine Learning, React, Deep Learning",Busy,34.3,4,68.2
EMP2799,Isha Iyer,employee2799@company.local,Data Science,Finance Analyst,8.9,2022-10-07,"Finance, Python, SQL",Available,35.6,3,79.2
EMP3459,Isha Sharma,employee3459@company.local,HR,Senior Developer,8.8,2017-06-29,"NLP, Computer Vision, React",On Leave,13.5,1,65.4
EMP2002,Rahul Mishra,employee2002@company.local,Sales,Analyst,15.9,2020-11-27,Data Analysis,Busy,93.6,6,84.9
EMP1642,Rahul Patel,employee1642@company.local,Engineering,Developer,12.6,2020-08-25,NLP,Available,52.9,3,75.4
EMP1867,Neha Joshi,employee1867@company.local,Marketing,Analyst,4.0,2021-07-06,"NLP, Finance, Project Management",Busy,55.7,8,70.1
EMP163,Sneha Sharma,employee163@company.local,Data Science,Business Analyst,5.3,2012-01-06,"Django, Machine Learning, Deep Learning",Available,3.1,0,63.4
EMP4793,Pooja Kapoor,employee4793@company.local,Marketing,Data Scientist,8.3,2014-12-23,"Django, Deep Learning",Busy,49.1,4,80.1
EMP4073,Pooja Kapoor,employee4073@company.local,HR,Team Lead,7.0,2018-03-24,"NLP, Machine Learning",Available,45.5,3,87.3
EMP1856,Aditya Kumar,employee1856@company.local,Finance,Business Analyst,3.9,2016-01-08,"Python, React",Busy,23.3,1,43.2
EMP2697,Swati Kapoor,employee2697@company.local,HR,Team Lead,10.0,2012-07-03,"Excel, NLP, Finance, Project Management",Available,100.0,9,69.8
EMP153,Pooja Kapoor,employee153@company.local,Finance,Team Lead,6.2,2021-04-08,"Python, Computer Vision, SQL, Machine Learning",Available,59.2,4,64.2
EMP721,Priya Reddy,employee721@company.local,Marketing,Business Analyst,13.8,2019-03-26,SQL,Available,93.5,6,72.7
EMP2287,Neha Iyer,employee2287@company.local,Finance,Project Manager,5.6,2024-09-26,"Computer Vision, Finance, Python, Excel",Available,46.4,3,55.8
EMP616,Aditya Singh,employee616@company.local,Finance,Developer,12.1,2020-07-19,"NLP, React, Deep Learning, Data Analysis",Available,32.5,2,81.9
EMP3947,Neha Joshi,employee3947@company.local,HR,Team Lead,8.1,2016-06-11,"Finance, Machine Learning, SQL",Available,90.4,5,62.3
EMP525,Anita Pillai,employee525@company.local,IT,Data Scientist,1.3,2016-05-10,"Project Management, Django, Data Analysis",Available,36.0,2,62.6
EMP3974,Nikhil Thomas,employee3974@company.local,Sales,Data Scientist,4.1,2012-10-19,Finance,Available,58.3,2,65.0
EMP2464,Vivek Kumar,employee2464@company.local,Operations,HR Executive,5.8,2017-04-17,NLP,Available,88.6,7,58.4
EMP2861,Priya Pillai,employee2861@company.local,Engineering,Business Analyst,4.2,2021-06-05,"NLP, Data Analysis, Project Management, Finance",Available,32.7,1,70.4
EMP1547,Neha Joshi,employee1547@company.local,Marketing,Analyst,8.2,2021-01-22,"SQL, React",Busy,54.3,5,74.5
EMP1162,Rahul Patel,employee1162@company.local,Engineering,HR Executive,11.2,2012-12-13,Data Analysis,Available,52.5,3,49.8
